TIME,elapsed_time,ax,ay,az,gx,gy,gz,angx,angy,HEADING,temp,pressure,alt,lat,longi,gpsalt,light
2023-07-27 07:49:47,14.797,-0.08,-0.01,1.07,0.4,0.01,-0.21,-0.39,4.06,342.93,25.2,100738.0,1.08,36.365,127.346,0.0,61.0
2023-07-27 07:49:47,14.8922,-0.07,-0.01,1.06,0.35,0.09,-0.15,-0.29,4.01,343.07,25.2,100741.0,0.83,36.365,127.346,0.0,60.0
2023-07-27 07:49:47,15.3612,-0.07,-0.01,1.07,0.34,0.31,-0.21,-0.34,3.97,342.93,25.19,100738.0,1.02,36.365,127.346,0.0,59.0
2023-07-27 07:49:48,15.8261,-0.07,-0.01,1.07,0.39,0.06,-0.05,-0.42,3.77,343.66,25.2,100739.0,0.99,36.365,127.346,0.0,60.0
2023-07-27 07:49:48,15.9326,-0.07,-0.01,1.06,0.41,0.23,-0.33,-0.55,3.95,342.79,25.19,100739.0,0.94,36.365,127.346,0.0,60.0
2023-07-27 07:49:48,16.0483,-0.07,-0.01,1.07,0.26,0.31,0.18,-0.51,3.64,344.19,25.19,100740.0,0.91,36.365,127.346,0.0,60.0
2023-07-27 07:49:48,16.1675,-0.07,-0.01,1.07,0.34,0.11,-0.08,-0.59,3.92,343.86,25.19,100739.0,0.93,36.365,127.346,0.0,59.0
2023-07-27 07:49:48,16.268,-0.07,-0.01,1.07,0.37,-0.05,0.08,-0.29,3.78,343.99,25.19,100737.0,1.16,36.365,127.346,0.0,62.0
2023-07-27 07:49:48,16.3684,-0.07,0.0,1.07,0.14,-0.22,-0.05,-0.26,3.86,344.58,25.19,100738.0,1.03,36.365,127.346,0.0,59.0
2023-07-27 07:49:48,16.4658,-0.07,-0.01,1.07,0.24,-0.09,-0.11,-0.51,3.72,343.39,25.19,100740.0,0.86,36.365,127.346,0.0,61.0
2023-07-27 07:49:48,16.5578,-0.06,-0.01,1.06,0.34,0.05,-0.25,-0.55,3.41,343.53,25.19,100742.0,0.75,36.365,127.346,0.0,61.0
2023-07-27 07:49:49,16.6504,-0.07,-0.01,1.07,0.34,-0.11,-0.05,-0.61,3.59,343.72,25.19,100738.0,1.04,36.365,127.346,0.0,59.0
2023-07-27 07:49:49,16.7486,-0.07,-0.01,1.07,0.29,-0.17,-0.05,-0.51,3.95,343.86,25.19,100740.0,0.91,36.365,127.346,0.0,60.0
2023-07-27 07:49:49,16.8482,-0.07,-0.01,1.07,0.24,0.34,-0.08,-0.29,3.83,343.99,25.19,100739.0,0.93,36.365,127.346,0.0,60.0
2023-07-27 07:49:49,16.9393,-0.08,-0.01,1.07,0.22,-0.11,-0.21,-0.42,4.06,343.99,25.19,100740.0,0.86,36.365,127.346,0.0,58.0
2023-07-27 07:49:49,17.0287,-0.07,-0.01,1.07,0.1,0.13,-0.05,-0.45,3.64,343.39,25.19,100739.0,0.96,36.365,127.346,0.0,60.0
2023-07-27 07:49:49,17.1503,-0.07,0.0,1.06,0.32,-0.27,-0.11,-0.26,3.73,343.66,25.19,100739.0,0.98,36.365,127.346,0.0,59.0
2023-07-27 07:49:49,17.2839,-0.07,-0.01,1.06,0.22,0.01,-0.26,-0.34,3.69,344.12,25.19,100738.0,1.06,36.365,127.346,0.0,60.0
2023-07-27 07:49:49,17.3845,-0.07,-0.01,1.07,0.24,-0.13,-0.37,-0.3,3.67,343.07,25.19,100738.0,1.04,36.365,127.346,0.0,60.0
2023-07-27 07:49:49,17.4901,-0.07,-0.01,1.07,0.3,0.18,-0.16,-0.45,3.85,343.21,25.18,100738.0,1.05,36.365,127.346,0.0,63.0
2023-07-27 07:49:49,17.5792,-0.07,-0.01,1.06,0.5,0.24,-0.24,-0.38,3.68,342.9,25.18,100741.0,0.92,36.365,127.346,0.0,61.0
2023-07-27 07:49:50,17.6706,-0.07,-0.01,1.07,0.5,0.23,-0.04,-0.37,3.74,342.47,25.18,100740.0,0.9,36.365,127.346,0.0,59.0
2023-07-27 07:49:50,18.406,-0.07,-0.01,1.07,0.23,-0.2,-0.15,-0.38,3.93,343.99,25.17,100739.0,0.97,36.365,127.346,0.0,60.0
2023-07-27 07:49:50,18.5073,-0.07,-0.01,1.07,0.26,-0.02,0.05,-0.39,3.79,343.58,25.18,100739.0,0.97,36.365,127.346,0.0,57.0
2023-07-27 07:49:51,18.6192,-0.07,-0.01,1.07,0.34,0.02,-0.07,-0.48,3.82,342.93,25.18,100741.0,0.77,36.365,127.346,0.0,58.0
2023-07-27 07:49:51,18.7094,-0.07,-0.01,1.07,0.27,-0.05,-0.07,-0.3,3.68,343.53,25.18,100739.0,0.98,36.365,127.346,0.0,61.0
